Party voted for in last national election, France (ballot 1)
1,Nouveau Centre
2,FN (Front National)
3,PR (Parti Radical Valoisien)
4,NPA (Nouveau Parti Anti-Capitaliste)
5,LO (Lutte Ouvrière)
6,FDG (Front de Gauche)
7,Parti Radical de Gauche
8,MPF (Mouvement pour la France)
9,PS (Parti Socialiste)
10,UMP (Union pour un Mouvement Populaire)
11,MODEM (Mouvement Démocrate)
12,EELV (Europe Ecologie Les Verts)
13,Autres mouvements écologistes
14,Autre
15,Blanc
16,Nul
66,Not applicable
77,Refusal
88,Don't know
99,No answer
