Party voted for in last national election, Montenegro
1,Albanci odlucno - Forca, DUA, AAA
2,SDP - Ranko Krivokapic
3,Albanska koalicija 'Sa jednim ciljem' - DP, GI, DS U CG i Perspektiva
4,Alternativa Crna Gora
5,Pozitivna Crna Gora - Darko Pajović
6,DPS - Milo Đukanović
7,Hrvatska građanska inicijativa - HGI
8,Aleksa Bečić - Demokrate
9,Velika koalicija Ključ - DEMOS, SNP, URA
10,Srpska stranka - Prof. Dr Milovan Živković
11,Stranka penzionera, invalida i socijalne pravde Crne Gore - Dr Smajo Šabotić
12,Lista demokratskog saveza Albanaca
13,Demokratski front
14,Bošnjačka stranka - Rafet Husović
15,Bošnjačka demokratska zajednica u Crnoj Gori - Hazbija Kalač
16,Socijaldemokrate Crne Gore - Ivan Brajović
17,Stranka srpskih radikala
18,Ostalo
66,Not applicable
77,Refusal
88,Don't know
99,No answer
