Party voted for in last national election, Latvia
1,Latvijas Krievu savienība
2,Jaunā konservatīvā partija
3,Rīcības partija
4,Nacionālā apvienība 'Visu Latvijai!' - 'Tēvzemei un Brīvībai/LNNK'
5,Progresīvie
6,Latvijas centriskā partija
7,LSDSP/KDS/GKL
8,No sirds Latvijai
9,Sociāldemokrātiskā partija 'Saskaņa'
10,Attīstībai/Par!
11,Latvijas Reģionu Apvienība
12,Latviešu Nacionālisti
13,Jaunā Vienotība
14,Par alternatīvu
15,Politiskā partija KPV LV
16,Zaļo un Zemnieku savienība
17,Other
66,Not applicable
77,Refusal
88,Don't know
99,No answer
