Party voted for in last national election, United Kingdom
1,Conservative
2,Labour
3,Liberal Democrat
4,Scottish National Party
5,Plaid Cymru
6,Green Party
7,UK Independence Party
8,Other
9,Ulster Unionist Party (nir)
10,Democratic Unionist Party (nir)
11,Sinn Féin (nir)
12,Social Democratic and Labour Party (nir)
13,Alliance Party (nir)
14,Traditional Unionist (nir)
15,Green Party (nir)
16,Independent(s) (nir)
17,People Before Profit Alliance (nir)
18,Progressive Unionist Party
19,Other (nir)
66,Not applicable
77,Refusal
88,Don't know
99,No answer
