Party voted for in last national election, Portugal
1,PTP-MAS - Agir
2,B.E. - Bloco de Esquerda
3,PCP-PEV - CDU - Coligação Democrática Unitária
4,JPP - Juntos pelo Povo
5,L/TDA - LIVRE/Tempo de Avançar
6,NC - Nós, Cidadãos!
7,PPV/CDC - Partido Cidadania e Democracia Cristã
8,PCTP/MRPP - Partido Comunista dos Trabalhadores Portugueses
9,MPT - Partido da Terra
10,PDR - Partido Democrático Republicano
11,PNR - Partido Nacional Renovador
12,PPM - Partido Popular Monárquico
13,PS - Partido Socialista
14,PURP - Partido Unido dos Reformados e Pensionistas
15,PAN - Pessoas-Animais-Natureza
16,PPD-PSD/CDS-PP - Portugal à Frente
17,Votou em branco/ nulo
18,Other
66,Not applicable
77,Refusal
88,Don't know
99,No answer
