Party voted for in last national election, Hungary
1,Centrum Párt (Centrum Összefogás Magyarországért)
2,CM (Civil Mozgalom)
3,Fidesz - KDNP (Fidesz – Magyar Polgári Szövetség Kereszténydemokrata Néppárt)
4,Jobbik (Jobbik Magyarországért Mozgalom)
5,LMP (Lehet Más A Politika)
6,MDF (Magyar Demokrata Fórum)
7,MIÉP (Magyar Igazság És Élet Pártja)
8,MSZP (Magyar Szocialista Párt)
9,MSZDP (Magyar Szociáldemokrata Párt)
10,Munkáspárt (Magyar Kommunista Munkáspárt)
11,MCF Roma Összefogás Párt
12,ÖP (Összefogás Párt)
13,SZDSZ (Szabad Demokraták Szövetsége - A Magyar Liberális Párt)
55,Other
66,Not applicable
77,Refusal
88,Don't know
99,No answer
